Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x6227226fa5b36ef1354cf922d9ffb053e707d68516ad756a1befcb8b63c0a012","Success","Transfer","21943387","2025-02-28 07:35:47","0x87d18ee84e8f4f5709cbf3500179a4c601da12ce","","0x32f2bfc66e98cd112de406ab4c7a0d4ed54e36fc","","0.820308615 ETH","$1,725.21","0.00003091"
"0xcda9ad801df0ad67a8b984aeffda69375e8b5d047f8ac3a0f60fe7693c0f04fc","Success","Transfer","21943387","2025-02-28 07:35:47","0x6ae4cdb7f7e3fc92c4bc5c2b5db1c474e6625278","","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether: USDT Stablecoin","0 ETH","$0.00","0.00006788"
"0xb6d8221d4167b6ba6ab9949f22e0942b8653160d111f9a4ac68a7464c2f664d7","Success","Transfer","21943387","2025-02-28 07:35:47","0x3e00a51fa9ae5279ae08af53f3e144b1a80e0bc7","","0x9f0439c306e9f4a43d9223dce388170b15f725d4","","0.052644009 ETH","$110.72","0.00003092"
"0xbbc72cb29477e6d052848acae69033ed5843f0ba7fe051745087664e47d656c4","Success","Transfer","21943387","2025-02-28 07:35:47","0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23","Bitget 6","0x3de7bb454d442e4c939c5fdbaa73b2fcc425f2e0","","0.19459281 ETH","$409.25","0.00003116"
"0xdffff8abbc2a4f54a01db29b9ed4b7fd7607f6672d3522471547e4e84a503366","Success","Transfer","21943387","2025-02-28 07:35:47","0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23","Bitget 6","0x36e66fbbce51e4cd5bd3c62b637eb411b18949d4","Omni Network: OMNI Token","0 ETH","$0.00","0.00007633"
"0x8023840824b441de81454f912150ce7b38db1c730a2d6dfcebe00f26adbd8888","Success","Transfer","21943387","2025-02-28 07:35:47","0x5bdf85216ec1e38d6458c870992a69e38e03f7ef","Bitget 5","0x467bccd9d29f223bce8043b84e8c8b282827790f","Telcoin: TEL Token","0 ETH","$0.00","0.00007693"
"0x57a98ad27ff266e6aa483b170ce57307e52eb88bc824bd2cab93cd7a8b9f4c62","Success","Transfer","21943387","2025-02-28 07:35:47","0x5bdf85216ec1e38d6458c870992a69e38e03f7ef","Bitget 5","0xfb55c69268fa90b5e4913a5772965f591ab4c2c4","","0.0006509 ETH","$1.37","0.00003116"
"0x0971c320ce19255bcb462c7116bf1da7cdd60ef6222ed592439ee6598d55ddcf","Success","Transfer","21943387","2025-02-28 07:35:47","0x8216874887415e2650d12d53ff53516f04a74fd7","MoonPay: Withdrawals 1","0x0f9104ac21a39521f4edf9b87695b5eff7f89c70","","0.0835 ETH","$175.61","0.00003156"
"0xa2a04b3a86f42a47d2ea9e571b8268f5625d62e19c96cdfb806beef8e005e105","Success","Transfer","21943387","2025-02-28 07:35:47","0x8216874887415e2650d12d53ff53516f04a74fd7","MoonPay: Withdrawals 1","0xd2306936f27be6f59c8a4660e581b533a63faaa4","","0.0934 ETH","$196.43","0.00003146"
"0x5f6732a6f93b3a190382059e1514f73b8dfa7e1b807638ad35f217797f72b1ab","Success","Transfer","21943387","2025-02-28 07:35:47","0x87cbc48075d7aa1760ac71c41e8bc289b6a31f56","SwissBorg 3","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","Circle: USDC Token","0 ETH","$0.00","0.00006768"
